seg_uid,seg_id,road_name,length_m
DM-192675-284260-X9DQ,DM02669,중앙로,13.1
DM-192678-284193-PF48,DM00686,구성로238번길,2.5
DM-192678-284250-X9DQ,DM02666,중앙로,17.0
DM-192681-284053-JFYG,DM02445,동계천로,6.8
DM-192683-284188-PF48,DM00688,구성로238번길,13.7
DM-192683-284218-PF48,DM00685,구성로238번길,44.3
DM-192685-283963-0DUE,DM00759,제봉로158번길,56.4
DM-192689-284152-X9DQ,DM00384,중앙로,30.6
DM-192691-284046-JFYG,DM02447,동계천로,17.8
DM-192691-284251-X9DQ,DM02667,중앙로,18.7
DM-192692-284062-JFYG,DM02448,동계천로,26.6
DM-192692-284239-X9DQ,DM02665,중앙로,17.9
DM-192692-284317-52VO,DM00600,경양로,50.8
DM-192695-283939-0DUE,DM00756,제봉로158번길,12.9
DM-192697-284175-PF48,DM00389,구성로238번길,22.0
DM-192702-284165-X9DQ,DM00386,중앙로,7.3
DM-192708-284039-JFYG,DM02449,동계천로,19.4
DM-192708-284201-X9DQ,DM00391,중앙로,62.3
DM-192709-284056-JFYG,DM02450,동계천로,33.0
DM-192714-284328-A7M1,DM00601,경양로277번길,56.9
DM-192716-283995-0DUE,DM00761,제봉로158번길,50.0
DM-192717-283961-0DUE,DM00758,제봉로158번길,50.2
DM-192722-284185-X9DQ,DM00388,중앙로,47.7
DM-192725-284026-JFYG,DM02451,동계천로,23.4
DM-192725-284047-JFYG,DM02452,동계천로,34.8
DM-192725-284225-X9DQ,DM00396,중앙로,69.1
DM-192727-284128-TO49,DM00387,중앙로246번길,89.4
DM-192733-283823-W4QT,DM00093,제봉로,132.6
DM-192740-284324-X9DQ,DM00399,중앙로,77.9
DM-192742-284206-X9DQ,DM00390,중앙로,11.7
DM-192743-283742-SLXC,DM00748,서석로85번길,62.5
DM-192743-283988-0DUE,DM00760,제봉로158번길,24.4
DM-192743-284007-JFYG,DM00762,동계천로,28.2
DM-192744-284271-52VO,DM00397,경양로,88.3
DM-192747-284030-JFYG,DM02453,동계천로,37.5
DM-192750-284177-X9DQ,DM00392,중앙로,60.2
DM-192752-284217-X9DQ,DM00393,중앙로,18.1
DM-192752-284375-X9DQ,DM00405,중앙로,38.1
DM-192769-284263-X9DQ,DM00395,중앙로,81.1
DM-192770-283980-JFYG,DM00763,동계천로,49.7
