segment_id,road_name,width_m,width_min_m,width_p25_m,n_sample,width_src,road_bt,tier,current_status,flag
seg_2201,동계천로85번길,3.0,3.0,3.0,3,ngii_digitalmap,3.0,CANDIDATE,YELLOW,
seg_2210,동계로15번길,4.24,4.03,4.24,60,ngii_digitalmap,4.0,CANDIDATE,GRAY,
seg_2208,동계로13번길,3.64,0.5,1.85,6,ngii_digitalmap,3.0,FIXED_BLOCK,RED,
seg_2216,동계로13번길,3.29,1.41,3.04,38,ngii_digitalmap,4.0,FIXED_BLOCK,RED,
seg_2340,동계천로95번길,3.16,1.5,2.75,4,ngii_digitalmap,1.0,FIXED_BLOCK,RED,
seg_2215,동계로13번길,4.95,3.16,3.2,35,ngii_digitalmap,4.0,CANDIDATE,YELLOW,
seg_116,중앙로252번길,4.61,3.2,4.61,90,ngii_digitalmap,6.0,CANDIDATE,GRAY,
seg_2213,동계로13번길,7.18,2.5,5.46,6,ngii_digitalmap,2.0,CANDIDATE,YELLOW,
seg_623,동계로15번길,5.0,3.04,3.16,87,ngii_digitalmap,6.0,CANDIDATE,YELLOW,
seg_2211,동계로13번길,6.98,5.52,6.26,38,ngii_digitalmap,9.0,CANDIDATE,YELLOW,
seg_2219,동계로13번길,3.16,1.12,2.65,4,ngii_digitalmap,2.0,FIXED_BLOCK,RED,
seg_2218,동계로13번길,3.2,1.12,2.68,4,ngii_digitalmap,2.0,FIXED_BLOCK,RED,
seg_2217,동계로13번길,6.1,0.5,3.64,5,ngii_digitalmap,3.0,FIXED_BLOCK,RED,
seg_602,중앙로,23.2,22.98,23.09,3,ngii_digitalmap,2.0,FIXED_PASS,BLUE,
seg_2212,동계로15번길,6.4,0.5,5.5,13,ngii_digitalmap,4.0,FIXED_BLOCK,RED,
seg_2203,동계천로95번길,4.61,0.5,4.53,24,ngii_digitalmap,5.0,FIXED_BLOCK,RED,
seg_1654,중앙로,17.5,2.5,8.93,10,ngii_digitalmap,2.0,CANDIDATE,GRAY,
seg_2202,동계천로95번길,3.16,0.5,3.16,54,ngii_digitalmap,3.0,FIXED_BLOCK,RED,
seg_1656,중앙로,22.15,8.6,15.35,7,ngii_digitalmap,5.0,CANDIDATE,GRAY,
seg_2214,동계로15번길,8.14,4.92,7.43,25,ngii_digitalmap,7.0,CANDIDATE,GRAY,
seg_2205,동계로15번길,3.16,2.0,3.16,10,ngii_digitalmap,2.0,CANDIDATE,GRAY,
seg_2220,경양로,13.5,1.5,7.5,7,ngii_digitalmap,3.0,FIXED_BLOCK,RED,
seg_533,중앙로,31.62,11.63,21.83,11,ngii_digitalmap,3.0,CANDIDATE,GRAY,
seg_2221,경양로,8.14,2.69,7.46,12,ngii_digitalmap,5.0,CANDIDATE,GRAY,
seg_2223,경양로305번길,3.2,1.41,2.92,6,silpok,2.0,FIXED_BLOCK,RED,
seg_102,구성로238번길,25.3,23.94,24.62,3,ngii_digitalmap,11.0,FIXED_PASS,BLUE,
seg_2293,계림로,8.14,3.2,7.07,5,ngii_digitalmap,1.522,CANDIDATE,GRAY,
seg_2157,중앙로,,,,0,,2.0,,GRAY,NO_DATA
seg_2226,경양로,4.86,1.0,3.79,4,silpok,2.0,FIXED_BLOCK,RED,
seg_323,동계로,18.34,16.62,17.39,79,ngii_digitalmap,19.0,FIXED_PASS,BLUE,
seg_124,동계로12번길,5.1,4.74,5.1,54,ngii_digitalmap,6.0,CANDIDATE,YELLOW,
seg_2167,동계로,3.61,3.54,3.61,47,ngii_digitalmap,5.0,CANDIDATE,YELLOW,
seg_2884,동계로,3.61,2.24,2.92,3,ngii_digitalmap,2.0,CANDIDATE,YELLOW,
seg_2883,동계로,3.64,1.58,3.13,4,ngii_digitalmap,2.0,FIXED_BLOCK,RED,
seg_2882,동계로,3.54,2.5,3.02,3,ngii_digitalmap,2.0,CANDIDATE,YELLOW,
seg_2155,중앙로,5.55,3.2,4.38,2,ngii_digitalmap,3.0,CANDIDATE,GRAY,
seg_114,계림로,8.14,7.43,8.06,68,ngii_digitalmap,10.0,CANDIDATE,GRAY,
seg_74,중앙로,24.3,21.57,23.33,108,ngii_digitalmap,25.0,FIXED_PASS,BLUE,
seg_353,경양로,15.07,12.0,14.56,102,ngii_digitalmap,15.0,FIXED_PASS,BLUE,
