대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
전남광주통합특별시 동구 산수동 513-20번지,12210,11000,0,0513,0020,1065113692,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 43-21 (산수동),,,,,0,122104277253,11001,0,43,21,,0,주건축물,0,67.43,0,67.43,67.43,0,11,벽돌구조,연와조,01000,단독주택,주택,20,기와,세와,0,1,0,1,0,0,0,1,6.94,67.43,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 513-20번지,12210,11000,0,0513,0020,1065113693,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 43-21 (산수동),,,,,0,122104277253,11001,0,43,21,,1,부속건축물,0,6.94,0,0,6.94,0,11,벽돌구조,,,,,90,기타지붕,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 513-21번지,12210,11000,0,0513,0021,1065113694,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 43-19 (산수동),,,,,0,122104277253,11001,0,43,19,,0,주건축물,0,74.58,0,74.58,74.58,0,11,벽돌구조,"연와조, 세벽조",01000,단독주택,주택,20,기와,"세와, 스라브",0,1,0,1,0,0,0,1,3.3,74.58,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 513-21번지,12210,11000,0,0513,0021,1065113695,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 43-19 (산수동),,,,,0,122104277253,11001,0,43,19,,1,부속건축물,0,3.3,0,0,3.3,0,11,벽돌구조,,,,,20,기와,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 513-22번지,12210,11000,0,0513,0022,1065113696,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 43-17 (산수동),,,,,0,122104277253,11001,0,43,17,,0,주건축물,165.4,87.66,52.9,157.23,157.23,95.06,11,벽돌구조,세벽조,01000,단독주택,주택,10,(철근)콘크리트,스라브,0,2,7.4,2,0,0,0,1,2.16,157.23,0,0,0,0,0,0,0,0,19910319,19910400,19910715,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 513-22번지,12210,11000,0,0513,0022,1065113697,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 43-17 (산수동),,,,,0,122104277253,11001,0,43,17,,1,부속건축물,0,2.16,0,0,2.16,0,11,벽돌구조,,,,,90,기타지붕,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 513-25번지,12210,11000,0,0513,0025,1065113700,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 43-9 (산수동),,,,,0,122104277253,11001,0,43,9,,0,주건축물,0,62.8,0,62.8,62.8,0,11,벽돌구조,연와조,01000,단독주택,주택,20,기와,세와,0,1,0,1,0,0,0,1,3.3,62.8,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 513-25번지,12210,11000,0,0513,0025,1065113701,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 43-9 (산수동),,,,,0,122104277253,11001,0,43,9,,1,부속건축물,0,3.3,0,0,3.3,0,11,벽돌구조,,,,,20,기와,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 513-26번지,12210,11000,0,0513,0026,1065113703,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 43-11 (산수동),,,,,0,122104277253,11001,0,43,11,,1,부속건축물,0,10.24,0,0,10.24,0,11,벽돌구조,,,,,20,기와,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 513-26번지,12210,11000,0,0513,0026,1065113702,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 43-11 (산수동),,,,,0,122104277253,11001,0,43,11,,0,주건축물,0,73.05,0,73.05,73.05,0,11,벽돌구조,연와조,01000,단독주택,주택,20,기와,세와,0,1,0,1,0,0,0,1,10.24,73.05,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
