obs_id,seg_uid,track,seq,offset_m,bearing_deg,lon,lat,road_name,width_src,width_min_m,width_max_m,verdict,landmark,measured_m,kind
DM-193308-283672-JFYG#2,DM-193308-283672-JFYG,B,2,7.6,341.8,126.926557,35.1494,동계천로,ngii1k,7.36,29.81,clear,,,
DM-193308-283672-JFYG#3,DM-193308-283672-JFYG,B,3,13.0,341.8,126.926539,35.149445,동계천로,ngii1k,7.36,29.81,clear,,,
DM-194178-283948-6RMT#1,DM-194178-283948-6RMT,B,1,11.3,93.2,126.935822,35.151905,필문대로205번길,ngii,3.25,,needs_cv,,,
DM-194178-283948-6RMT#2,DM-194178-283948-6RMT,B,2,37.7,93.2,126.936111,35.151891,필문대로205번길,ngii,3.25,,needs_cv,,,
DM-194178-283948-6RMT#3,DM-194178-283948-6RMT,B,3,64.2,93.2,126.936401,35.151878,필문대로205번길,ngii,3.25,,needs_cv,,,
DM-193219-283882-OKXU#1,DM-193219-283882-OKXU,C,1,8.6,11.0,126.925543,35.151115,동명로26번길,ngii1k,6.4,7.67,unknown,,,
DM-193219-283882-OKXU#2,DM-193219-283882-OKXU,C,2,28.8,11.0,126.925585,35.151293,동명로26번길,ngii1k,6.4,7.67,unknown,,,
DM-193219-283882-OKXU#3,DM-193219-283882-OKXU,C,3,48.9,11.0,126.925627,35.151472,동명로26번길,ngii1k,6.4,7.67,unknown,,,
DM-192834-284088-Z8KD#1,DM-192834-284088-Z8KD,C,1,3.2,48.5,126.921291,35.153094,중앙로252번길,ngii1k,0.78,2.84,blocked,,,
DM-192834-284088-Z8KD#2,DM-192834-284088-Z8KD,C,2,10.6,44.7,126.921349,35.15314,중앙로252번길,ngii1k,0.78,2.84,blocked,,,
DM-192834-284088-Z8KD#3,DM-192834-284088-Z8KD,C,3,18.1,325.8,126.921359,35.153193,중앙로252번길,ngii1k,0.78,2.84,blocked,,,
DM-192279-284364-JFYG#1,DM-192279-284364-JFYG,C,1,18.7,127.8,126.914883,35.155867,동계천로,ngii,9.91,,clear,,,
DM-192279-284364-JFYG#2,DM-192279-284364-JFYG,C,2,62.5,127.8,126.915262,35.155626,동계천로,ngii,9.91,,clear,,,
DM-192279-284364-JFYG#3,DM-192279-284364-JFYG,C,3,106.2,127.8,126.915642,35.155384,동계천로,ngii,9.91,,clear,,,
DM-192692-284239-X9DQ#1,DM-192692-284239-X9DQ,C,1,2.7,317.5,126.919845,35.154473,중앙로,ngii1k,1.48,5.03,unknown,,,
DM-192692-284239-X9DQ#2,DM-192692-284239-X9DQ,C,2,8.9,297.9,126.919791,35.154507,중앙로,ngii1k,1.48,5.03,unknown,,,
DM-192692-284239-X9DQ#3,DM-192692-284239-X9DQ,C,3,15.2,306.8,126.919734,35.154536,중앙로,ngii1k,1.48,5.03,unknown,,,
DM-193781-283733-U6CJ#1,DM-193781-283733-U6CJ,C,1,6.1,183.8,126.931758,35.150082,동명로98번길,ngii1k,0.92,,unknown,,,
DM-193781-283733-U6CJ#2,DM-193781-283733-U6CJ,C,2,20.2,185.4,126.931746,35.149955,동명로98번길,ngii1k,0.92,,unknown,,,
DM-193781-283733-U6CJ#3,DM-193781-283733-U6CJ,C,3,34.3,185.4,126.931732,35.149828,동명로98번길,ngii1k,0.92,,unknown,,,
